,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
52,AAPL241220C00300000,2024-10-23 16:27:13+00:00,300.0,0.04,0.03,0.04,0.0,0.0,79,8084,0.25586681640625003,False,REGULAR,USD
53,AAPL241220C00305000,2024-10-23 16:22:37+00:00,305.0,0.03,0.01,0.03,-0.01,-25.0,1,1325,0.2617261328125,False,REGULAR,USD
54,AAPL241220C00310000,2024-10-22 13:30:03+00:00,310.0,0.02,0.02,0.03,0.0,0.0,1,4453,0.27539787109374997,False,REGULAR,USD
55,AAPL241220C00315000,2024-10-21 13:37:47+00:00,315.0,0.03,0.0,0.02,0.0,0.0,10,12,0.27735097656249996,False,REGULAR,USD
56,AAPL241220C00320000,2024-10-22 14:43:07+00:00,320.0,0.02,0.01,0.02,0.0,0.0,1,1657,0.2890696093749999,False,REGULAR,USD
57,AAPL241220C00325000,2024-10-18 16:28:41+00:00,325.0,0.01,0.0,0.02,0.0,0.0,7,7,0.3007882421875,False,REGULAR,USD
58,AAPL241220C00330000,2024-10-23 16:14:51+00:00,330.0,0.01,0.0,0.01,0.0,0.0,3,1656,0.29688203124999996,False,REGULAR,USD
59,AAPL241220C00335000,2024-10-21 16:00:22+00:00,335.0,0.01,0.0,0.01,0.0,0.0,2,32,0.304694453125,False,REGULAR,USD
60,AAPL241220C00340000,2024-10-17 18:34:10+00:00,340.0,0.01,0.0,0.01,0.0,0.0,31,1064,0.31641308593749995,False,REGULAR,USD
61,AAPL241220C00350000,2024-10-17 14:27:17+00:00,350.0,0.01,0.0,0.01,0.0,0.0,1,7403,0.335944140625,False,REGULAR,USD
