,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
39,AAPL241220P00230000,2024-10-23 16:42:47+00:00,230.0,8.27,8.2,8.3,2.8200006,51.45987,9172.0,13822,0.2199785034179687,True,REGULAR,USD
40,AAPL241220P00235000,2024-10-23 16:40:12+00:00,235.0,10.65,10.65,10.8,3.2999997,44.897957,744.0,9571,0.20978573425292968,True,REGULAR,USD
41,AAPL241220P00240000,2024-10-23 16:38:22+00:00,240.0,13.8,13.6,13.8,4.0600004,41.68378,108.0,1754,0.19892158508300778,True,REGULAR,USD
42,AAPL241220P00245000,2024-10-23 16:27:12+00:00,245.0,17.08,17.0,17.25,3.2799997,23.768114,6.0,887,0.185005708618164,True,REGULAR,USD
43,AAPL241220P00250000,2024-10-23 16:13:13+00:00,250.0,20.43,21.1,21.35,3.2800007,19.125368,2.0,3756,0.17688811401367188,True,REGULAR,USD
44,AAPL241220P00255000,2024-10-23 16:13:54+00:00,255.0,24.45,25.4,25.6,3.1800003,14.950636,2.0,220,0.14649291015625,True,REGULAR,USD
45,AAPL241220P00260000,2024-10-23 14:59:16+00:00,260.0,26.04,29.85,29.95,-0.80999947,-3.0167577,34.0,53,1.0000000000000003e-05,True,REGULAR,USD
46,AAPL241220P00265000,2024-10-16 14:01:39+00:00,265.0,35.03,34.75,35.3,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
47,AAPL241220P00270000,2024-10-22 15:57:12+00:00,270.0,35.3,39.7,40.35,-0.20000076,-0.56338245,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
48,AAPL241220P00280000,2023-10-12 15:09:32+00:00,280.0,97.8,92.9,94.45,0.0,0.0,,0,1.6348895208740233,True,REGULAR,USD
49,AAPL241220P00285000,2024-10-02 15:57:18+00:00,285.0,58.23,54.75,55.35,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
50,AAPL241220P00290000,2024-10-18 19:58:36+00:00,290.0,55.02,59.65,60.3,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
51,AAPL241220P00295000,2024-07-26 15:34:58+00:00,295.0,76.6,67.65,69.2,0.0,0.0,2.0,0,0.5194750201416016,True,REGULAR,USD
52,AAPL241220P00300000,2024-09-13 14:16:21+00:00,300.0,77.0,71.55,73.15,0.0,0.0,5.0,0,0.5286912365722658,True,REGULAR,USD
53,AAPL241220P00305000,2023-07-17 18:52:31+00:00,305.0,111.27,127.25,130.1,0.0,0.0,,0,2.0721483743286133,True,REGULAR,USD
54,AAPL241220P00310000,2024-09-24 16:41:03+00:00,310.0,82.1,79.55,80.15,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
55,AAPL241220P00320000,2024-10-14 19:50:16+00:00,320.0,88.4,89.65,90.25,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
56,AAPL241220P00330000,2024-10-11 19:42:14+00:00,330.0,101.43,99.75,100.45,0.0,0.0,,0,0.352545537109375,True,REGULAR,USD
57,AAPL241220P00350000,2024-07-17 19:15:07+00:00,350.0,120.57,123.5,124.45,0.0,0.0,,0,0.7767356311035156,True,REGULAR,USD
